item_gallery_id,item_id,original_name,encrypted_name,file_path,width,height,size,default,for_web,order,status,updated_by,updated_date
211,49565,"Holiday 2022_7SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,1045100,0,0,1,active,124,"2022-11-25 16:12:55"
212,49565,"Holiday 2022_3SZ.jpg",-3.jpg,uploads/item_gallery/-3.jpg,1080,1080,608579,0,0,0,active,124,"2022-11-25 16:12:58"
213,48797,"EP Carrillo Allegiance Chaperone No 58 Box (20)_6SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,959029,1,0,2,active,124,"2022-11-29 13:03:56"
214,48797,"EP Carrillo Allegiance Chaperone No 58 Box (20)_3SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,528300,0,0,1,active,124,"2022-11-29 13:04:00"
215,48797,"EP Carrillo Allegiance Chaperone No 58 Box (20)_7SZ.jpg",-3.jpg,uploads/item_gallery/-3.jpg,1080,1080,1301273,0,0,0,active,124,"2022-11-29 13:04:01"
216,48796,"EP Carrillo Allegiance Sidekick Robusto Box (20)_6SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,1036103,0,0,2,active,124,"2022-11-29 13:04:52"
217,48796,"EP Carrillo Allegiance Sidekick Robusto Box (20)_7SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,1447745,0,0,1,active,124,"2022-11-29 13:04:53"
218,48796,"EP Carrillo Allegiance Sidekick Robusto Box (20)_3SZ.jpg",-3.jpg,uploads/item_gallery/-3.jpg,1080,1080,520458,0,0,0,active,124,"2022-11-29 13:04:54"
219,48795,"EP Carrillo Allegiance Confidant Toro Box (20)_6SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,947266,1,0,2,active,124,"2022-11-29 13:05:18"
220,48795,"EP Carrillo Allegiance Confidant Toro Box (20)_7SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,1203677,0,0,1,active,124,"2022-11-29 13:05:19"
221,48795,"EP Carrillo Allegiance Confidant Toro Box (20)_3SZ.jpg",-3.jpg,uploads/item_gallery/-3.jpg,1080,1080,506464,0,0,0,active,124,"2022-11-29 13:05:20"
222,48794,"EP Carrillo Allegiance Wingman Double Corona Box (20)_6SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,894233,1,0,2,active,124,"2022-11-29 13:05:41"
223,48794,"EP Carrillo Allegiance Wingman Double Corona Box (20)_7SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,1153219,0,0,1,active,124,"2022-11-29 13:05:42"
224,48794,"EP Carrillo Allegiance Wingman Double Corona Box (20)_3SZ.jpg",-3.jpg,uploads/item_gallery/-3.jpg,1080,1080,535584,0,0,0,active,124,"2022-11-29 13:05:44"
225,49956,"Caldwell The T Sungrown Habano Double Robusto Box (20)_6SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,788321,1,0,2,active,124,"2022-11-29 13:06:33"
226,49956,"Caldwell The T Sungrown Habano Double Robusto Box (20)_7SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,1065506,0,0,1,active,124,"2022-11-29 13:06:34"
227,49956,"Caldwell The T Sungrown Habano Double Robusto Box (20)_3SZ.jpg",-3.jpg,uploads/item_gallery/-3.jpg,1080,1080,481188,0,0,0,active,124,"2022-11-29 13:06:36"
228,49955,"Caldwell The T Sungrown Habano Lonsdale Box (20)_3SZ.jpg",-1.jpg,uploads/item_gallery/-1.jpg,1080,1080,505224,0,0,2,active,124,"2022-11-29 13:07:16"
229,49955,"Caldwell The T Sungrown Habano Lonsdale Box (20)_6SZ.jpg",-2.jpg,uploads/item_gallery/-2.jpg,1080,1080,695572,1,0,1,active,124,"2022-11-29 13:07:17"
