brand_gallery_id,brand_id,original_name,encrypted_name,file_path,width,height,size,default,for_web,order,status,updated_by,updated_date
256,1072,BRIOSO-300x300.png,BRIOSO-300x300.png,uploads/brand_gallery/BRIOSO-300x300.png,NULL,NULL,NULL,1,0,0,active,97,"2022-05-02 05:44:17"
257,1256,BUTERA-300x300.png,BUTERA-300x300.png,uploads/brand_gallery/BUTERA-300x300.png,NULL,NULL,NULL,1,0,0,active,97,"2022-05-02 05:44:17"
258,1257,Screen-Shot-2021-04-15-at-12.27.17-AM-300x300.png,Screen-Shot-2021-04-15-at-12.27.17-AM-300x300.png,uploads/brand_gallery/Screen-Shot-2021-04-15-at-12.27.17-AM-300x300.png,NULL,NULL,NULL,1,0,0,active,97,"2022-05-02 05:44:17"
259,1173,Caldwell-Cigars-Logo-1-300x300.jpg,Caldwell-Cigars-Logo-1-300x300.jpg,uploads/brand_gallery/Caldwell-Cigars-Logo-1-300x300.jpg,NULL,NULL,NULL,1,0,0,active,97,"2022-05-02 05:44:17"
260,1113,CAMACHO-300x300.png,CAMACHO-300x300.png,uploads/brand_gallery/CAMACHO-300x300.png,NULL,NULL,NULL,1,0,NULL,active,1,"2022-05-02 05:44:17"
261,1119,CASAGAR-300x300.png,CASAGAR-300x300.png,uploads/brand_gallery/CASAGAR-300x300.png,NULL,NULL,NULL,1,0,0,active,97,"2022-05-02 05:44:18"
262,1136,casaf-300x300.jpg,casaf-300x300.jpg,uploads/brand_gallery/casaf-300x300.jpg,NULL,NULL,NULL,1,0,0,active,97,"2022-05-02 05:44:18"
263,1410,CHARTOK-300x300.png,CHARTOK-300x300.png,uploads/brand_gallery/CHARTOK-300x300.png,NULL,NULL,NULL,1,0,NULL,active,1,"2022-05-02 05:44:18"
264,1179,COHIBA-300x300.png,COHIBA-300x300.png,uploads/brand_gallery/COHIBA-300x300.png,NULL,NULL,NULL,1,0,0,active,1,"2022-05-02 05:44:18"
265,1301,Screen-Shot-2021-04-15-at-12.21.54-AM-300x300.png,Screen-Shot-2021-04-15-at-12.21.54-AM-300x300.png,uploads/brand_gallery/Screen-Shot-2021-04-15-at-12.21.54-AM-300x300.png,NULL,NULL,NULL,1,0,NULL,active,1,"2022-05-02 05:44:18"
266,1180,CUBREJ-300x300.png,CUBREJ-300x300.png,uploads/brand_gallery/CUBREJ-300x300.png,NULL,NULL,NULL,1,0,0,active,97,"2022-05-02 05:44:18"
267,1182,Screen-Shot-2021-04-15-at-12.21.16-AM-300x300.png,Screen-Shot-2021-04-15-at-12.21.16-AM-300x300.png,uploads/brand_gallery/Screen-Shot-2021-04-15-at-12.21.16-AM-300x300.png,NULL,NULL,NULL,1,0,NULL,active,1,"2022-05-02 05:44:18"
268,1122,Screen-Shot-2021-04-15-at-12.20.46-AM-300x300.png,Screen-Shot-2021-04-15-at-12.20.46-AM-300x300.png,uploads/brand_gallery/Screen-Shot-2021-04-15-at-12.20.46-AM-300x300.png,NULL,NULL,NULL,1,0,NULL,active,1,"2022-05-02 05:44:18"
269,1204,CURIVRI-300x300.png,CURIVRI-300x300.png,uploads/brand_gallery/CURIVRI-300x300.png,NULL,NULL,NULL,1,0,0,active,97,"2022-05-02 05:44:18"
270,1183,CUSANO-300x300.png,CUSANO-300x300.png,uploads/brand_gallery/CUSANO-300x300.png,NULL,NULL,NULL,1,0,NULL,active,1,"2022-05-02 05:44:18"
271,1263,unnamed-1-300x284.png,unnamed-1-300x284.png,uploads/brand_gallery/unnamed-1-300x284.png,NULL,NULL,NULL,1,0,0,active,59,"2022-05-02 05:44:18"
272,1365,Screen-Shot-2021-04-15-at-12.20.14-AM-300x300.png,Screen-Shot-2021-04-15-at-12.20.14-AM-300x300.png,uploads/brand_gallery/Screen-Shot-2021-04-15-at-12.20.14-AM-300x300.png,NULL,NULL,NULL,1,0,0,active,97,"2022-05-02 05:44:19"
